transaction_id,member_id,date,amount,payment
1,10004,2017-03-12,14,552
2,10004,2017-04-09,7,608
3,10007,2017-04-27,17,89
4,10008,2017-04-24,8,602
5,10011,2017-03-09,11,275
6,10016,2017-04-11,16,193
7,10014,2017-03-23,8,105
8,10012,2017-04-25,10,664
9,10002,2017-03-24,18,410
10,10005,2017-03-10,2,277
11,10020,2017-04-16,20,27
12,10020,2017-03-07,5,282
13,10013,2017-04-01,19,848
14,10005,2017-03-15,5,183
15,10014,2017-03-17,15,29
16,10015,2017-03-21,13,412
17,10014,2017-04-06,16,437
18,10019,2017-04-04,10,926
19,10007,2017-03-07,20,939
20,10017,2017-03-24,12,618
21,10006,2017-03-04,19,956
22,10011,2017-03-25,10,560
23,10004,2017-03-22,7,723
24,10001,2017-03-13,18,842
25,10002,2017-04-02,4,791
26,10005,2017-04-14,13,472
27,10012,2017-03-17,20,71
28,10007,2017-03-02,2,580
29,10003,2017-03-04,17,233
30,10004,2017-03-06,5,989
31,10013,2017-04-27,19,610
32,10014,2017-03-05,1,234
33,10015,2017-03-14,14,615
34,10020,2017-04-08,13,215
35,10017,2017-04-15,20,216
36,10014,2017-04-30,7,519
37,10001,2017-04-19,6,721
38,10002,2017-03-12,17,99
39,10006,2017-03-25,16,676
40,10012,2017-03-29,13,202
41,10010,2017-03-03,6,327
42,10005,2017-04-16,19,439
43,10001,2017-03-13,9,572
44,10018,2017-04-04,5,235
45,10002,2017-04-19,8,887
46,10020,2017-03-17,2,884
47,10011,2017-04-20,12,642
48,10012,2017-04-23,9,278
49,10014,2017-03-12,19,278
50,10009,2017-03-01,10,70
51,10005,2017-04-16,7,144
52,10018,2017-04-19,4,55
53,10016,2017-04-21,3,96
54,10015,2017-04-21,6,903
55,10012,2017-04-04,13,255
56,10009,2017-04-23,7,450
57,10007,2017-04-11,20,141
58,10008,2017-03-07,20,876
59,10012,2017-03-05,15,802
60,10020,2017-03-27,14,208
61,10006,2017-04-28,13,835
62,10013,2017-03-13,2,567
63,10009,2017-03-27,9,765
64,10018,2017-04-29,4,543
65,10006,2017-04-30,16,645
66,10005,2017-04-06,12,940
67,10013,2017-03-25,7,362
68,10016,2017-04-08,5,511
69,10002,2017-04-16,9,652
70,10008,2017-04-16,16,247
71,10002,2017-03-26,4,973
72,10019,2017-04-03,11,436
73,10017,2017-03-20,11,558
74,10012,2017-04-26,13,577
75,10006,2017-04-10,2,737
76,10009,2017-04-25,6,308
77,10019,2017-03-27,6,930
78,10010,2017-04-07,17,109
79,10018,2017-03-31,17,422
80,10014,2017-04-05,5,387
81,10012,2017-03-09,3,394
82,10020,2017-03-13,3,940
83,10006,2017-03-03,8,479
84,10018,2017-04-07,10,242
85,10003,2017-03-24,19,924
86,10013,2017-04-22,17,829
87,10011,2017-03-23,8,772
88,10006,2017-03-22,11,735
89,10013,2017-04-02,5,151
90,10012,2017-03-28,14,624
91,10018,2017-03-06,11,669
92,10008,2017-04-18,17,847
93,10019,2017-04-14,12,310
94,10016,2017-03-15,7,688
95,10018,2017-03-09,15,705
96,10002,2017-04-24,9,212
97,10008,2017-03-13,19,369
98,10014,2017-03-03,9,391
99,10016,2017-04-13,14,651
100,10003,2017-03-31,17,815
